date,ticpe_goudron_combustible,ticpe_white_spirit_combustible,ticpe_essences_speciales,ticpe_huiles_legeres_ess_avion,ticpe_sp95_sp98,ticpe_super_additif,ticpe_super_e10,ticpe_essence_normale,ticpe_carbu_petrole_lampant_cond,ticpe_carbu_petrole_lampant,ticpe_carbu_petrole_lampant_autres,ticpe_autres_huiles_moyennes,ticpe_gazole_cond,ticpe_fioul_domestique,maj_ticpe_die_als,maj_ticpe_die_aqui,maj_ticpe_die_auv,maj_ticpe_die_b_n,maj_ticpe_die_bourg,maj_ticpe_die_bre,maj_ticpe_die_cen,maj_ticpe_die_ch_ar,maj_ticpe_die_cor,maj_ticpe_die_f_c,maj_ticpe_die_h_n,maj_ticpe_die_idf,maj_ticpe_die_l_r,maj_ticpe_die_lim,maj_ticpe_die_lor,maj_ticpe_die_m_p,maj_ticpe_die_n_cal,maj_ticpe_die_p_loi,maj_ticpe_die_pic,maj_ticpe_die_p_c,maj_ticpe_die_r_a,maj_ticpe_die_paca,ticpe_diesel,ticpe_fioul_lourd,ticpe_fioul_lourd_cond,ticpe_fioul_lourd_hts,ticpe_fioul_lourd_bts,ticpe_propane_cond,ticpe_propane_autres,ticpe_butane_cond,ticpe_butane_autres,ticpe_autres_gaz_liq_cond,ticpe_autres_gaz_liq_autres,ticpe_gaz_naturels_gazeux,ticpe_gaz_naturels_gazeux_cond,maj_ticpe_super_als,maj_ticpe_super_aqui,maj_ticpe_super_auv,maj_ticpe_super_b_n,maj_ticpe_super_bourg,maj_ticpe_super_bre,maj_ticpe_super_cen,maj_ticpe_super_ch_ar,maj_ticpe_super_cor,maj_ticpe_super_f_c,maj_ticpe_super_h_n,maj_ticpe_super_idf,maj_ticpe_super_l_r,maj_ticpe_super_lim,maj_ticpe_super_lor,maj_ticpe_super_m_p,maj_ticpe_super_n_cal,maj_ticpe_super_p_loi,maj_ticpe_super_pic,maj_ticpe_super_p_c,maj_ticpe_super_r_a,maj_ticpe_super_paca,tgap_super95,tgap_super98,tgap_ars,tgap_e10,tgap_e85,tgap_gazole,tgap_b30,ticpe_emulsion_eau_gazole_cond,ticpe_emulsion_eau_gazole_autres,ticpe_super_e85,ticpe_carburant_ethanol_agricole,tx_spec_cigarettes,tx_spec_cigares,tx_spec_tabac_rouler,tx_spec_autres_tabac,tx_spec_tabac_priser,tx_spec_tabac_chiquer,tx_cigarettes,tx_cigares,tx_tabac_rouler,tx_autres_tabac,tx_tabac_priser,tx_tabac_chiquer,tx_reduit,tx_inter,tx_normal,tx_maj,tx_superreduit,tx_reduit2,tx_majtempo,fgao_contrib_assures,fgao_respo_accidents_non_assures_tx_normal,fgao_respo_accidents_non_assures_tx_reduit,fgao_contrib_assurances,taxe_assu_incendie_particuliers,taxe_assu_incendie_agricole,taxe_assu_incendie_caisse_dep,taxe_assu_incendie_industrie,taxe_assu_maladie_solidaire_responsable,taxe_assu_maladie_autres,taxe_assu_bateaux_sport_plaisance,taxe_assu_navig_fluviale_aerienne,taxe_assu_vie_et_assimiliees,taxe_rente_viagere_cond,taxe_assu_credit_export,contrib_secu_assu_auto,taxe_assu_vtm_particuliers,taxe_assu_protec_juridique,taxe_assu_vtm_lourds,taxe_assu_vtm_autres,taxe_autres_assu,taxe_rhum_dom,taxe_autres_alcools,taxe_bouilleurs_cru,taxe_ajout_vins,taxe_aperitifs_base_divers_alcools,droit_boiss_non_alcool,cotis_secu_alcool,coti_secu_alcool_tx_plein,coti_secu_alcool_inter_tx_plein,taxe_premix_decil_pur,taxe_premix_decil_tot,taxe_vins_mousseux,taxe_vins_tranquilles,taxe_boiss_fermen_sauf_vin_biere,taxe_cidre_poire_hydromel,exoneration_taxe_vins,exoneration_taxe_petillants,taxe_boiss_sucrees_1kg,taxe_boiss_sucrees_2kg,taxe_boiss_sucrees_3kg,taxe_boiss_sucrees_4kg,taxe_boiss_sucrees_5kg,taxe_boiss_sucrees_6kg,taxe_boiss_sucrees_7kg,taxe_boiss_sucrees_8kg,taxe_boiss_sucrees_9kg,taxe_boiss_sucrees_10kg,taxe_boiss_sucrees_11kg,taxe_boiss_sucrees_12kg,taxe_boiss_sucrees_13kg,taxe_boiss_sucrees_14kg,taxe_boiss_sucrees_15kg,taxe_boiss_sucrees_kg_sup_15kg,taxe_vdn_vdl,taxe_autres_produits_inter_alcool,taxe_boiss_sucrees_edulcorees,taxe_boiss_sucrees_edulcorees_mayotte,taxe_boiss_edulcorees,taxe_boiss_sucrees,taxe_boiss_energie,taxe_bieres_inf_28,taxe_biere_sup_28,taxe_bieres_inf_46,taxe_autres_bieres,taxe_brasserie_inf_10,taxe_brasserie_10_50,taxe_brasserie_50_200,cspe,cta,ticgn,ctssg,plafond_tcfe
2011-01,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,5.66,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.15,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,1.15,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.77,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,1.77,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.09,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.035,0.07,0.19,,,,,0.15,0.18,,,,0.09,859.24,1514.47,757.24,,,0.54,0.16,,,11.0,,8.78,3.55,3.55,1.25,,,,,,,,,,,,,,,,,,,56.4,223.51,,,,,,1.36,2.71,,,1.36,1.62,2.04,7.5,0.21,1.19,0.045,
2011-02,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,5.66,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.15,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,1.15,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.77,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,1.77,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.09,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.035,0.07,0.19,,,,,0.15,0.18,,,,0.09,859.24,1514.47,757.24,,,0.54,0.16,,,11.0,,8.78,3.55,3.55,1.25,,,,,,,,,,,,,,,,,,,56.4,223.51,,,,,,1.36,2.71,,,1.36,1.62,2.04,7.5,0.21,1.19,0.045,
2011-03,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,5.66,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.15,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,1.15,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.77,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,1.77,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.09,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.035,0.07,0.19,,,,,0.15,0.18,,,,0.09,859.24,1514.47,757.24,,,0.54,0.16,,,11.0,,8.78,3.55,3.55,1.25,,,,,,,,,,,,,,,,,,,56.4,223.51,,,,,,1.36,2.71,,,1.36,1.62,2.04,7.5,0.21,1.19,0.045,
2011-04,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,5.66,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.15,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,1.15,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.77,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,1.77,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.09,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.035,0.07,0.19,,,,,0.15,0.18,,,,0.09,859.24,1514.47,757.24,,,0.54,0.16,,,11.0,,8.78,3.55,3.55,1.25,,,,,,,,,,,,,,,,,,,56.4,223.51,,,,,,1.36,2.71,,,1.36,1.62,2.04,7.5,0.21,1.19,0.045,
2011-05,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,5.66,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.15,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,1.15,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.77,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,1.77,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.09,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.035,0.07,0.19,,,,,0.15,0.18,,,,0.09,859.24,1514.47,757.24,,,0.54,0.16,,,11.0,,8.78,3.55,3.55,1.25,,,,,,,,,,,,,,,,,,,56.4,223.51,,,,,,1.36,2.71,,,1.36,1.62,2.04,7.5,0.21,1.19,0.045,
2011-06,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,5.66,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.15,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,1.15,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.77,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,1.77,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.09,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.035,0.07,0.19,,,,,0.15,0.18,,,,0.09,859.24,1514.47,757.24,,,0.54,0.16,,,11.0,,8.78,3.55,3.55,1.25,,,,,,,,,,,,,,,,,,,56.4,223.51,,,,,,1.36,2.71,,,1.36,1.62,2.04,7.5,0.21,1.19,0.045,
2011-07,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,5.66,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.15,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,1.15,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.77,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,1.77,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.09,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.035,0.07,0.19,,,,,0.15,0.18,,,,0.09,859.24,1514.47,757.24,,,0.54,0.16,,,11.0,,8.78,3.55,3.55,1.25,,,,,,,,,,,,,,,,,,,56.4,223.51,,,,,,1.36,2.71,,,1.36,1.62,2.04,7.5,0.21,1.19,0.045,
2011-08,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,5.66,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.15,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,1.15,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.77,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,1.77,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.09,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.035,0.07,0.19,,,,,0.15,0.18,,,,0.09,859.24,1514.47,757.24,,,0.54,0.16,,,11.0,,8.78,3.55,3.55,1.25,,,,,,,,,,,,,,,,,,,56.4,223.51,,,,,,1.36,2.71,,,1.36,1.62,2.04,9.0,0.21,1.19,0.045,
2011-09,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,5.66,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.15,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,1.15,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.77,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,1.77,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.09,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.035,0.07,0.19,,,,,0.15,0.18,,,,0.09,859.24,1514.47,757.24,,,0.54,0.16,,,11.0,,8.78,3.55,3.55,1.25,,,,,,,,,,,,,,,,,,,56.4,223.51,,,,,,1.36,2.71,,,1.36,1.62,2.04,9.0,0.21,1.19,0.045,
2011-10,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,5.66,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.15,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,1.15,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.77,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,1.77,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.09,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.07,0.09,0.19,,,,,0.15,0.18,,,,0.09,859.24,1514.47,757.24,,,0.54,0.16,,,11.0,,8.78,3.55,3.55,1.25,,,,,,,,,,,,,,,,,,,56.4,223.51,,,,,,1.36,2.71,,,1.36,1.62,2.04,9.0,0.21,1.19,0.045,
2011-11,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,5.66,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.15,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,1.15,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.77,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,1.77,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.09,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.07,0.09,0.19,,,,,0.15,0.18,,,,0.09,859.24,1514.47,757.24,,,0.54,0.16,,,11.0,,8.78,3.55,3.55,1.25,,,,,,,,,,,,,,,,,,,56.4,223.51,,,,,,1.36,2.71,,,1.36,1.62,2.04,9.0,0.21,1.19,0.045,
2011-12,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,5.66,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.15,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,1.15,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,1.77,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,1.77,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.09,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.07,0.09,0.19,,,,,0.15,0.18,,,,0.09,859.24,1514.47,757.24,,,0.54,0.16,,,11.0,,8.78,3.55,3.55,1.25,,,,,,,,,,,,,,,,,,,56.4,223.51,,,,,,1.36,2.71,,,1.36,1.62,2.04,9.0,0.21,1.19,0.045,
2012-01,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,7.2,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,2.5,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,2.5,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.12,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,0.07,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.07,0.09,0.19,,,,,0.15,0.18,,,,0.09,872.13,1660.0,830.0,,,0.54,,533.0,45.0,11.0,,8.91,3.6,3.6,1.27,,,,,,,,,,,,,,,,,,,45.0,180.0,,,,,,1.38,2.75,,,1.38,1.64,2.07,9.0,0.21,1.19,0.045,
2012-02,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,7.2,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,2.5,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,2.5,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.12,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,0.07,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.07,0.09,0.19,,,,,0.15,0.18,,,,0.09,872.13,1660.0,830.0,,,0.54,,533.0,45.0,11.0,,8.91,3.6,3.6,1.27,,,,,,,,,,,,,,,,,,,45.0,180.0,,,,,,1.38,2.75,,,1.38,1.64,2.07,9.0,0.21,1.19,0.045,
2012-03,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,7.2,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,2.5,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,2.5,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.12,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,0.07,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.07,0.09,0.19,,,,,0.15,0.18,,,,0.09,872.13,1660.0,830.0,,,0.54,,533.0,45.0,11.0,,8.91,3.6,3.6,1.27,,,,,,,,,,,,,,,,,,,45.0,180.0,,,,,,1.38,2.75,,,1.38,1.64,2.07,9.0,0.21,1.19,0.045,
2012-04,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,7.2,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,2.5,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,2.5,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.12,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,0.07,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.07,0.09,0.19,,,,,0.15,0.18,,,,0.09,872.13,1660.0,830.0,,,0.54,,533.0,45.0,11.0,,8.91,3.6,3.6,1.27,,,,,,,,,,,,,,,,,,,45.0,180.0,,,,,,1.38,2.75,,,1.38,1.64,2.07,9.0,0.21,1.19,0.045,
2012-05,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,7.2,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,2.5,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,2.5,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.12,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,0.07,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.07,0.09,0.19,,,,,0.15,0.18,,,,0.09,903.0,1660.0,830.0,,,0.54,,533.0,45.0,11.0,,8.91,3.6,3.6,1.27,,,,,,,,,,,,,,,,,,,45.0,180.0,,,,,,1.38,2.75,,,1.38,1.64,2.07,9.0,0.21,1.19,0.045,
2012-06,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,7.2,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,2.5,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,2.5,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.12,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,0.07,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.07,0.09,0.19,,,,,0.15,0.18,,,,0.09,903.0,1660.0,830.0,,,0.54,,533.0,45.0,11.0,,8.91,3.6,3.6,1.27,,,,,,,,,,,,,,,,,,,45.0,180.0,7.16,,,,,1.38,2.75,,,1.38,1.64,2.07,9.0,0.21,1.19,0.045,
2012-07,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,7.2,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,2.5,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,2.5,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.12,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,0.07,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.07,0.09,0.19,,,,,0.15,0.18,,,,0.09,903.0,1660.0,830.0,,,0.54,,533.0,45.0,11.0,,8.91,3.6,3.6,1.27,,,,,,,,,,,,,,,,,,,45.0,180.0,7.16,,,,,1.38,2.75,,,1.38,1.64,2.07,10.5,0.21,1.19,0.045,
2012-08,1.5,5.66,58.92,35.9,60.69,63.96,60.69,,2.54,30.2,41.69,41.69,7.2,5.66,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.15,2.5,42.84,1.85,,,,4.68,10.76,4.68,10.76,4.68,10.76,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.77,2.5,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2.1,28.71,17.29,,0.12,,,,,,0.6425,0.2757,0.5857,0.5242,0.4557,0.3217,0.055,0.07,0.196,,0.021,,,0.012,0.1,0.05,0.01,0.3,0.07,0.24,0.07,0.07,0.09,0.19,,,,,0.15,0.18,,,,0.09,903.0,1660.0,830.0,,,0.54,,533.0,45.0,11.0,,8.91,3.6,3.6,1.27,,,,,,,,,,,,,,,,,,,45.0,180.0,7.16,,,,,1.38,2.75,,,1.38,1.64,2.07,10.5,0.21,1.19,0.045,
